iter	Passed	Remaining
884	25754	3346
885	25787	3318
886	25821	3289
887	25854	3260
888	25884	3231
889	25912	3202
890	25943	3173
891	25973	3144
892	26002	3115
893	26032	3086
894	26057	3057
895	26085	3027
896	26112	2998
897	26142	2969
898	26169	2940
899	26195	2910
900	26222	2881
901	26250	2852
902	26275	2822
903	26328	2795
904	26384	2769
905	26416	2740
906	26446	2711
907	26476	2682
908	26506	2653
909	26534	2624
910	26560	2594
911	26598	2566
912	26627	2537
913	26656	2508
914	26687	2479
915	26715	2449
916	26744	2420
917	26776	2391
918	26808	2362
919	26832	2333
920	26864	2304
921	26921	2277
922	26956	2248
923	26986	2219
924	27015	2190
925	27041	2160
926	27068	2131
927	27094	2102
928	27122	2072
929	27150	2043
930	27178	2014
931	27207	1985
932	27236	1955
933	27262	1926
934	27287	1896
935	27316	1867
936	27347	1838
937	27371	1809
938	27401	1780
939	27429	1750
940	27455	1721
941	27481	1692
942	27518	1663
943	27550	1634
944	27575	1604
945	27605	1575
946	27637	1546
947	27664	1517
948	27690	1488
949	27721	1459
950	27753	1429
951	27781	1400
952	27807	1371
953	27840	1342
954	27866	1313
955	27890	1283
956	27919	1254
957	27951	1225
958	27981	1196
959	28017	1167
960	28049	1138
961	28080	1109
962	28106	1079
963	28144	1051
964	28175	1021
965	28203	992
966	28229	963
967	28258	934
968	28288	904
969	28316	875
970	28342	846
971	28370	817
972	28418	788
973	28457	759
974	28491	730
975	28519	701
976	28546	672
977	28578	642
978	28605	613
979	28633	584
980	28658	555
981	28689	525
982	28718	496
983	28748	467
984	28776	438
985	28802	408
986	28830	379
987	28857	350
988	28884	321
989	28927	292
990	28955	262
991	28986	233
992	29015	204
993	29045	175
994	29075	146
995	29108	116
996	29144	87
997	29173	58
998	29202	29
999	29229	0
